Cordilleran Flycatcher,1,0
Buff-breasted Flycatcher,2,0
Black Phoebe,1,0
Eastern Phoebe,1,0
Say's Phoebe,1,0
Vermilion Flycatcher,1,0
Red-backed Shrike,5,0
Brown Shrike,4,0
Loggerhead Shrike,1,0
Northern Shrike,1,0
Black-capped Vireo,2,0
White-eyed Vireo,1,0
Thick-billed Vireo,4,0
Cuban Vireo,5,0
Bell's Vireo,1,0
Gray Vireo,2,0
Hutton's Vireo,1,0
Yellow-throated Vireo,1,0
Cassin's Vireo,1,0
Blue-headed Vireo,1,0
Plumbeous Vireo,1,0
Philadelphia Vireo,1,0
Warbling Vireo,1,0
Red-eyed Vireo,1,0
Yellow-green Vireo,3,0
Black-whiskered Vireo,2,0
Yucatan Vireo,5,0
Canada Jay,1,0
Brown Jay,4,0
Green Jay,2,0
Pinyon Jay,1,0
Steller's Jay,1,0
Blue Jay,1,0
Florida Scrub-Jay,2,0
Island Scrub-Jay,2,0
California Scrub-Jay,1,0
Woodhouse's Scrub-Jay,1,0
Mexican Jay,2,0
Clark's Nutcracker,1,0
Black-billed Magpie,1,0
Yellow-billed Magpie,2,0
Eurasian Jackdaw,4,0
American Crow,1,0
Northwestern Crow,1,0
Tamaulipas Crow,4,0
Fish Crow,1,0
Hawaiian Crow,6,0
Chihuahuan Raven,1,0
Common Raven,1,0
Kauai Elepaio,2,0
Oahu Elepaio,3,0
Hawaii Elepaio,2,0
Eurasian Skylark,2,1
Horned Lark,1,0
Purple Martin,1,0
Cuban Martin,5,0
Gray-breasted Martin,5,0
Southern Martin,5,0
Brown-chested Martin,5,0
Tree Swallow,1,0
Mangrove Swallow,5,0
Violet-green Swallow,1,0
Bahama Swallow,4,0
Northern Rough-winged Swallow,1,0
Bank Swallow,1,0
Cliff Swallow,1,0
Cave Swallow,1,0
Barn Swallow,1,0
Common House-Martin,4,0
Carolina Chickadee,1,0
Black-capped Chickadee,1,0
Mountain Chickadee,1,0
Mexican Chickadee,2,0
Chestnut-backed Chickadee,1,0
Boreal Chickadee,1,0
Gray-headed Chickadee,3,0
Bridled Titmouse,2,0
Oak Titmouse,1,0
Juniper Titmouse,1,0
Tufted Titmouse,1,0
Black-crested Titmouse,2,0
Verdin,1,0
Bushtit,1,0
Red-breasted Nuthatch,1,0
White-breasted Nuthatch,1,0
Pygmy Nuthatch,1,0
Brown-headed Nuthatch,1,0
Brown Creeper,1,0
Rock Wren,1,0
Canyon Wren,1,0
House Wren,1,0
Pacific Wren,1,0
Winter Wren,1,0
Sedge Wren,1,0
Marsh Wren,1,0
Carolina Wren,1,0
Bewick's Wren,1,0
Cactus Wren,1,0
Sinaloa Wren,5,0
Blue-gray Gnatcatcher,1,0
California Gnatcatcher,2,0
Black-tailed Gnatcatcher,1,0
Black-capped Gnatcatcher,3,0
American Dipper,1,0
Red-vented Bulbul,2,0
Red-whiskered Bulbul,2,1
Golden-crowned Kinglet,1,0
Ruby-crowned Kinglet,1,0
Japanese Bush-Warbler,2,0
Willow Warbler,5,0
Common Chiffchaff,5,0
Wood Warbler,5,0
Dusky Warbler,4,0
Pallas's Leaf Warbler,5,0
Yellow-browed Warbler,4,0
Arctic Warbler,2,0
Kamchatka Leaf Warbler,5,0
Lesser Whitethroat,5,0
Wrentit,1,0
Japanese White-eye,2,0
Greater Necklaced Laughingthrush,3,0
Hwamei,2,0
Red-billed Leiothrix,2,0
Thick-billed Warbler,5,0
Millerbird,3,0
Sedge Warbler,5,0
Blyth's Reed Warbler,5,0
Middendorff's Grasshopper-Warbler,4,0
River Warbler,5,0
Lanceolated Warbler,5,0
Gray-streaked Flycatcher,4,0
Asian Brown Flycatcher,5,0
Spotted Flycatcher,5,0
Dark-sided Flycatcher,4,0
White-rumped Shama,2,0
European Robin,5,0
Siberian Rubythroat,3,0
Bluethroat,2,0
Siberian Blue Robin,5,0
Rufous-tailed Robin,5,0
Red-flanked Bluetail,4,0
Narcissus Flycatcher,5,0
Mugimaki Flycatcher,5,0
Taiga Flycatcher,4,0
Common Redstart,5,0
Stonechat,4,0
Northern Wheatear,2,0
Pied Wheatear,5,0
Eastern Bluebird,1,0
Western Bluebird,1,0
Mountain Bluebird,1,0
Townsend's Solitaire,1,0
Brown-backed Solitaire,5,0
Kamao,6,0
Amaui,6,0
Olomao,6,0
Omao,2,0
Puaiohi,3,0
Orange-billed Nightingale-Thrush,5,0
Black-headed Nightingale-Thrush,5,0
Veery,1,0
Gray-cheeked Thrush,1,0
Bicknell's Thrush,2,0
Swainson's Thrush,1,0
Hermit Thrush,1,0
Wood Thrush,1,0
Eurasian Blackbird,5,0
Eyebrowed Thrush,3,0
Dusky Thrush,4,0
Fieldfare,4,0
Redwing,4,0
Mistle Thrush,5,0
Song Thrush,5,0
Clay-colored Thrush,3,0
White-throated Thrush,4,0
Rufous-backed Robin,3,0
American Robin,1,0
Red-legged Thrush,5,0
Varied Thrush,1,0
Aztec Thrush,4,0
Blue Mockingbird,5,0
Gray Catbird,1,0
Curve-billed Thrasher,1,0
Brown Thrasher,1,0
Long-billed Thrasher,2,0
Bendire's Thrasher,2,0
California Thrasher,2,0
LeConte's Thrasher,2,0
Crissal Thrasher,2,0
Sage Thrasher,1,0
Bahama Mockingbird,4,0
Northern Mockingbird,1,0
European Starling,1,1
Common Myna,2,1
Bohemian Waxwing,2,0
Cedar Waxwing,1,0
Kauai Oo,6,0
Oahu Oo,6,0
Bishop's Oo,6,0
Hawaii Oo,6,0
Kioea,6,0
Gray Silky-flycatcher,5,0
Phainopepla,1,0
Olive Warbler,2,0
Siberian Accentor,4,0
Common Waxbill,2,0
Red Avadavat,2,0
African Silverbill,2,0
Java Sparrow,2,0
Scaly-breasted Munia,2,1
Chestnut Munia,2,0
House Sparrow,1,1
Eurasian Tree Sparrow,2,1
Eastern Yellow Wagtail,2,0
Citrine Wagtail,5,0
Gray Wagtail,4,0
White Wagtail,3,0
Tree Pipit,5,0
Olive-backed Pipit,3,0
Pechora Pipit,4,0
Red-throated Pipit,3,0
American Pipit,1,0
Sprague's Pipit,2,0
Common Chaffinch,4,0
Brambling,3,0
Evening Grosbeak,1,0
Hawfinch,4,0
Common Rosefinch,4,0
Pallas's Rosefinch,5,0
Poo-uli,6,0
Akikiki,3,0
Oahu Alauahio,6,0
Kakawahie,6,0
Maui Alauahio,2,0
Palila,3,0
Laysan Finch,3,0
Nihoa Finch,3,0
